count,mean,std,min,25%,50%,75%,max,missing,unique,dataset,feature
11.0,53.181363636363635,15.174087466946586,30.0,42.5,51.665,67.5,75.0,0,10,Vulnerability Score Per leg_ 2026_04_21,11__operation___maintenance__o_m__of_assets
11.0,0.644090909090909,4.65807407529218,-10.13,-0.76,0.575,2.795,8.9,0,11,Water demand growth_ 2026_04_21,water_demand_growth
11.0,33.99181818181818,7.209727898030296,23.0,28.86,35.02,37.254999999999995,48.8,0,11,Water demand growth_ 2026_04_21,non_revenue_water
11.0,31.717272727272732,7.1355673788551535,23.0,27.84,30.25,34.32,48.8,0,11,Water demand growth_ 2026_04_21,water_losses
21301.0,-25.945538096802974,0.1536834433726775,-26.139,-26.139,-25.917,-25.917,-25.733,0,3,Weather,latitude
21301.0,28.218314257546584,0.023564697037690308,28.183,28.217,28.217,28.246,28.246,0,3,Weather,longitude
21301.0,1520.8033190930003,140.18090695227764,1322.0,1500.0,1500.0,1694.1,1694.1,0,3,Weather,elevation
21301.0,1.9620111731843577,6.7636272439356,0.0,0.5,0.5,0.5,340.1,0,213,Weather,prcp
21301.0,17.58985963100324,4.466002454014383,0.8,14.3,18.1,20.9,31.4,0,275,Weather,tavg
21301.0,25.282573588094454,4.443199642878262,6.9,22.3,25.6,28.4,38.8,0,284,Weather,tmax
21301.0,11.53843481526689,4.430463701591056,-7.0,8.9,12.2,14.6,26.1,0,276,Weather,tmin
