Dataset,Feature 1,Feature 2,Correlation,Absolute Correlation
Vulnerability Score Per leg_ 2026_04_21,4__technical_staff_capacity__numbers,7__drinking_water_safety___regulatory_compliance,0.7001076246764616,0.7001076246764616
Vulnerability Score Per leg_ 2026_04_21,7__drinking_water_safety___regulatory_compliance,4__technical_staff_capacity__numbers,0.7001076246764616,0.7001076246764616
Vulnerability Score Per leg_ 2026_04_21,4__technical_staff_capacity__numbers,11__operation___maintenance__o_m__of_assets,0.6963885901420361,0.6963885901420361
Vulnerability Score Per leg_ 2026_04_21,11__operation___maintenance__o_m__of_assets,4__technical_staff_capacity__numbers,0.6963885901420361,0.6963885901420361
Weather,tmin,tmax,0.6807970915061671,0.6807970915061671
Weather,tmax,tmin,0.6807970915061671,0.6807970915061671
Surface Water Storage (2014-2020),moderately_high,moderately_low,0.67798572291067,0.67798572291067
Surface Water Storage (2014-2020),moderately_low,moderately_high,0.67798572291067,0.67798572291067
Surface Water Storage (2014-2020),low,moderately_low,0.6653944804471853,0.6653944804471853
Surface Water Storage (2014-2020),moderately_low,low,0.6653944804471853,0.6653944804471853
Vulnerability Score Per leg_ 2026_04_21,10__infrastructure_asset_management__iam,1__water_services_planning,0.6599046664434822,0.6599046664434822
Vulnerability Score Per leg_ 2026_04_21,1__water_services_planning,10__infrastructure_asset_management__iam,0.6599046664434822,0.6599046664434822
Surface Water Storage ( 2020 -2026),low,moderately_low,0.6384004994123074,0.6384004994123074
Surface Water Storage ( 2020 -2026),moderately_low,low,0.6384004994123074,0.6384004994123074
Surface Water Storage (2014-2020),high,very_low,-0.6179997035055129,0.6179997035055129
Surface Water Storage (2014-2020),very_low,high,-0.6179997035055129,0.6179997035055129
Vulnerability Score Per leg_ 2026_04_21,7__drinking_water_safety___regulatory_compliance,11__operation___maintenance__o_m__of_assets,0.5943459693165312,0.5943459693165312
Vulnerability Score Per leg_ 2026_04_21,11__operation___maintenance__o_m__of_assets,7__drinking_water_safety___regulatory_compliance,0.5943459693165312,0.5943459693165312
Vulnerability Score Per leg_ 2026_04_21,4__technical_staff_capacity__numbers,6__water_conservation___water_demand_management__wc_wdm,0.5827561271360414,0.5827561271360414
Vulnerability Score Per leg_ 2026_04_21,6__water_conservation___water_demand_management__wc_wdm,4__technical_staff_capacity__numbers,0.5827561271360414,0.5827561271360414
Surface Water Storage ( 2020 -2026),2025_2026,2024_2025,0.5489962080153105,0.5489962080153105
Surface Water Storage ( 2020 -2026),2024_2025,2025_2026,0.5489962080153105,0.5489962080153105
NIWIS_RWT_16-Jul-2026 ,forestry_c_m3,domestic_and_industry_c_m3,0.5470088006932649,0.5470088006932649
NIWIS_RWT_16-Jul-2026 ,domestic_and_industry_c_m3,forestry_c_m3,0.5470088006932649,0.5470088006932649
Vulnerability Score Per leg_ 2026_04_21,1__water_services_planning,4__technical_staff_capacity__numbers,0.5413261591934223,0.5413261591934223
Vulnerability Score Per leg_ 2026_04_21,4__technical_staff_capacity__numbers,1__water_services_planning,0.5413261591934223,0.5413261591934223
Vulnerability Score Per leg_ 2026_04_21,6__water_conservation___water_demand_management__wc_wdm,10__infrastructure_asset_management__iam,0.5363050190392619,0.5363050190392619
Vulnerability Score Per leg_ 2026_04_21,10__infrastructure_asset_management__iam,6__water_conservation___water_demand_management__wc_wdm,0.5363050190392619,0.5363050190392619
Surface Water Storage ( 2020 -2026),very_low,moderately_low,0.5244284354097009,0.5244284354097009
Surface Water Storage ( 2020 -2026),moderately_low,very_low,0.5244284354097009,0.5244284354097009
Vulnerability Score Per leg_ 2026_04_21,10__infrastructure_asset_management__iam,7__drinking_water_safety___regulatory_compliance,0.46337749246209314,0.46337749246209314
Vulnerability Score Per leg_ 2026_04_21,7__drinking_water_safety___regulatory_compliance,10__infrastructure_asset_management__iam,0.46337749246209314,0.46337749246209314
Vulnerability Score Per leg_ 2026_04_21,10__infrastructure_asset_management__iam,4__technical_staff_capacity__numbers,0.459162166412754,0.459162166412754
Vulnerability Score Per leg_ 2026_04_21,4__technical_staff_capacity__numbers,10__infrastructure_asset_management__iam,0.459162166412754,0.459162166412754
Potable Systems_ 2026_04_21,drinking_water_quality_percentage,latest_blue_drop_score,0.3808041081604829,0.3808041081604829
Potable Systems_ 2026_04_21,latest_blue_drop_score,drinking_water_quality_percentage,0.3808041081604829,0.3808041081604829
Surface Water Storage ( 2020 -2026),high,moderately_low,0.3794456856656937,0.3794456856656937
Surface Water Storage ( 2020 -2026),moderately_low,high,0.3794456856656937,0.3794456856656937
Surface Water Storage (2014-2020),moderately_low,very_low,0.3613291612070184,0.3613291612070184
Surface Water Storage (2014-2020),very_low,moderately_low,0.3613291612070184,0.3613291612070184
Vulnerability Score Per leg_ 2026_04_21,10__infrastructure_asset_management__iam,11__operation___maintenance__o_m__of_assets,0.35312249921331235,0.35312249921331235
Vulnerability Score Per leg_ 2026_04_21,11__operation___maintenance__o_m__of_assets,10__infrastructure_asset_management__iam,0.35312249921331235,0.35312249921331235
Surface Water Storage ( 2020 -2026),high,moderately_high,0.3329350710602414,0.3329350710602414
Surface Water Storage ( 2020 -2026),moderately_high,high,0.3329350710602414,0.3329350710602414
Water demand growth_ 2026_04_21,water_demand_growth,non_revenue_water,0.3257067967039059,0.3257067967039059
Water demand growth_ 2026_04_21,non_revenue_water,water_demand_growth,0.3257067967039059,0.3257067967039059
Institutional Compliance_ 2026_04_21,potable_water_compliance_percentage,effluent_water_compliance_percentage,0.3143815226332833,0.3143815226332833
Institutional Compliance_ 2026_04_21,effluent_water_compliance_percentage,potable_water_compliance_percentage,0.3143815226332833,0.3143815226332833
Surface Water Storage ( 2020 -2026),high,normal,0.3113659564895605,0.3113659564895605
Surface Water Storage ( 2020 -2026),normal,high,0.3113659564895605,0.3113659564895605
Weather,tmax,latitude,0.31122007021352827,0.31122007021352827
Weather,latitude,tmax,0.31122007021352827,0.31122007021352827
Weather,elevation,tmax,-0.30967658111815705,0.30967658111815705
Weather,tmax,elevation,-0.30967658111815705,0.30967658111815705
Vulnerability Score Per leg_ 2026_04_21,1__water_services_planning,11__operation___maintenance__o_m__of_assets,0.30766648273337643,0.30766648273337643
Vulnerability Score Per leg_ 2026_04_21,11__operation___maintenance__o_m__of_assets,1__water_services_planning,0.30766648273337643,0.30766648273337643
Weather,tmax,longitude,-0.3044602014649184,0.3044602014649184
Weather,longitude,tmax,-0.3044602014649184,0.3044602014649184
Surface Water Storage (2014-2020),low,high,-0.3023221423591353,0.3023221423591353
Surface Water Storage (2014-2020),high,low,-0.3023221423591353,0.3023221423591353
Vulnerability Score Per leg_ 2026_04_21,6__water_conservation___water_demand_management__wc_wdm,11__operation___maintenance__o_m__of_assets,0.27060646936750266,0.27060646936750266
Vulnerability Score Per leg_ 2026_04_21,11__operation___maintenance__o_m__of_assets,6__water_conservation___water_demand_management__wc_wdm,0.27060646936750266,0.27060646936750266
Operational_ 2026_04_21,compliance_percentage,analysis_failed,0.26585082012362954,0.26585082012362954
Operational_ 2026_04_21,analysis_failed,compliance_percentage,0.26585082012362954,0.26585082012362954
Water demand growth_ 2026_04_21,water_demand_growth,water_losses,0.2617229346258771,0.2617229346258771
Water demand growth_ 2026_04_21,water_losses,water_demand_growth,0.2617229346258771,0.2617229346258771
Surface Water Storage (2014-2020),normal,high,-0.24584108753617331,0.24584108753617331
Surface Water Storage (2014-2020),high,normal,-0.24584108753617331,0.24584108753617331
Microbiological _ Acute Health_ 2026_04_21,compliance_percentage,analysis_failed,0.2400260202830513,0.2400260202830513
