quaternary,reserve_study,available__gra2_m3_a,recharge__gwr_m3_a,reserve__gwr_m3_a,abstracted__warms_m3_a,surplus__gra2_m3_a,surplus__gwr_m3_a
D62G,0,5 457 800,Unknown,Unknown,182 345,5 275 455,Unknown
D62H,0,4 029 520,Unknown,Unknown,155 000,3 874 520,Unknown
D62J,0,3 508 670,Unknown,Unknown,122 000,3 386 670,Unknown
D71A,0,7 242 680,Unknown,Unknown,117 540,7 125 140,Unknown
D71B,0,14 112 600,Unknown,Unknown,1 854 087,12 258 513,Unknown
D71C,1,2 665 640,4 500 000,170 000,18 422,2 647 218,4 311 578
D71D,1,2 964 060,4 490 000,380 000,445 870,2 518 190,3 664 130
D72A,0,2 169 390,Unknown,Unknown,396 782,1 772 608,Unknown
D72B,1,3 994 160,4 940 000,1 740 000,60 769,3 933 391,3 139 231
D72C,1,4 912 090,15 800 000,1 010 000,732 887,4 179 203,14 057 113
D73B,0,14 874 200,Unknown,Unknown,263 255,14 610 945,Unknown
D73D,1,6 133 050,1 940 000,910 000,317 817,5 815 233,712 183
D73E,1,2 617 070,1 050 000,800 000,209 058,2 408 012,40 942
D73F,1,661 717,370 000,1 070 000,45 000,616 717,- 745 000
D81A,0,110 121,Unknown,Unknown,0,110 121,Unknown
D81B,0,48 761,Unknown,Unknown,0,48 761,Unknown
D81C,0,1 485 510,Unknown,Unknown,0,1 485 510,Unknown
D81D,0,38 386,Unknown,Unknown,8 184,30 202,Unknown
D81E,1,40 905,80 000,80 000,0,40 905,0
D81F,1,831,110 000,120 000,0,831,-10 000
D81G,1,0,180 000,130 000,0,0,50 000
D82A,1,95 751,80 000,40 000,0,95 751,40 000
D82B,1,0,400,180 000,20 280,-20 280,- 199 880
D82C,1,47 717,470 000,47 000,119 814,-72 097,303 186
D82D,1,536 447,598 000,200 000,700,535 747,397 300
D82E,0,116 464,Unknown,Unknown,0,116 464,Unknown
D82F,0,48 274,Unknown,Unknown,0,48 274,Unknown
D82G,0,18 718,Unknown,Unknown,0,18 718,Unknown
D82H,0,34 783,Unknown,Unknown,35 200,- 417,Unknown
D82J,0,22 322,Unknown,Unknown,0,22 322,Unknown
D82K,0,0,Unknown,Unknown,0,0,Unknown
D82L,1,54 738,320 000,401 000,0,54 738,-81 000
F10A,0,1 386,Unknown,Unknown,0,1 386,Unknown
F10B,0,89 117,Unknown,Unknown,0,89 117,Unknown
F10C,0,131 275,Unknown,Unknown,0,131 275,Unknown
F20A,0,205 348,Unknown,Unknown,0,205 348,Unknown
F20B,0,74 994,Unknown,Unknown,0,74 994,Unknown
F20C,0,8 442,Unknown,Unknown,0,8 442,Unknown
F20D,1,62 450,240 000,40 000,345 119,- 282 669,- 145 119
F20E,1,61 382,400 000,15 800,0,61 382,384 200
F30A,0,9 811,Unknown,Unknown,23 700,-13 889,Unknown
