quaternary,reserve_study,available__gra2_m3_a,recharge__gwr_m3_a,reserve__gwr_m3_a,abstracted__warms_m3_a,surplus__gra2_m3_a,surplus__gwr_m3_a
C42B,1,2 088 890,5 100 000,4 080 000,375 567,1 713 323,644 433
C42C,1,2 453 320,6 270 000,4 840 000,880 250,1 573 070,549 750
C42D,1,355 731,1 710 000,2 650 000,133 650,222 081,-1 073 650
C42E,1,1 052 720,2 930 000,2 250 000,11 851,1 040 869,668 149
C42F,1,1 375,1 420 000,610 000,44 200,-42 825,765 800
C42G,1,93 740,820 000,1 700 000,53 375,40 365,- 933 375
C42H,1,242 125,530 000,910 000,43 641,198 484,- 423 641
C42J,1,173 689,1 990 000,1 400 000,16 359 894,-16 186 205,-15 769 894
C42K,1,90 428,670 000,170 000,18 143 625,-18 053 197,-17 643 625
C42L,1,157 329,960 000,710 000,2 863 312,-2 705 983,-2 613 312
C43A,1,4 902 050,3 370 000,2 220 000,3 025 227,1 876 823,-1 875 227
C43B,1,1 883 390,1 260 000,70 000,6 499 244,-4 615 854,-5 309 244
C43C,1,3 414 340,3 170 000,1 130 000,473 715,2 940 625,1 566 285
C43D,1,3 854 320,3 950 000,1 350 000,1 058 016,2 796 304,1 541 984
C60A,1,5 749 460,10 010 000,7 700 000,221 021,5 528 439,2 088 979
C60B,1,4 915 500,10 110 000,8 360 000,145 485,4 770 015,1 604 515
C60C,1,3 127 960,5 510 000,3 720 000,341 368,2 786 592,1 448 632
C60D,1,1 613 600,2 530 000,870 000,472 496,1 141 104,1 187 504
C60E,1,1 307 820,2 760 000,1 190 000,600 580,707 240,969 420
C60F,1,1 600 970,1 940 000,2 170 000,70 322,1 530 648,- 300 322
C60G,1,1 056 760,2 280 000,2 350 000,384 990,671 770,- 454 990
C60H,1,3 132 450,2 690 000,310 000,926 918,2 205 532,1 453 082
C60J,1,7 141 580,10 020 000,3 900 000,833 915,6 307 665,5 286 085
C70A,1,2 643 670,7 020 000,5 300 000,205 000,2 438 670,1 515 000
C70B,1,1 997 660,4 740 000,3 590 000,28 607,1 969 053,1 121 393
C70C,1,2 368 180,5 920 000,4 180 000,8 095,2 360 085,1 731 905
C70D,1,782 935,3 820 000,2 320 000,313 978,468 957,1 186 022
C70E,1,5 797 620,7 670 000,4 790 000,1 321 685,4 475 935,1 558 315
C70F,1,3 227 870,4 950 000,4 000 000,74 821,3 153 049,875 179
C70G,1,3 058 450,7 150 000,3 940 000,265 504,2 792 946,2 944 496
C70H,1,1 441 280,1 920 000,1 620 000,110 100,1 331 180,189 900
C70J,1,7 755 690,6 450 000,4 020 000,497 870,7 257 820,1 932 130
C70K,1,8 494 490,9 390 000,5 170 000,975 216,7 519 274,3 244 784
C81A,1,5 795 750,22 720 000,15 860 000,102 330,5 693 420,6 757 670
C81B,1,6 146 350,17 900 000,4 400 000,269 522,5 876 828,13 230 478
C81C,1,1 715 500,9 880 000,3 760 000,876,1 714 624,6 119 124
C81D,1,1 439 280,8 310 000,3 380 000,8 541,1 430 739,4 921 459
C81E,1,3 755 710,22 340 000,8 460 000,84 020,3 671 690,13 795 980
C81F,1,9 571 740,46 150 000,45 140 000,48 814,9 522 926,961 186
C81G,1,3 048 050,18 140 000,9 160 000,6 030,3 042 020,8 973 970
C81H,1,2 140 370,12 370 000,5 900 000,189 475,1 950 895,6 280 525
C81J,1,2 263 390,12 880 000,1 390 000,0,2 263 390,11 490 000
C81K,1,2 230 100,12 340 000,5 000 000,0,2 230 100,7 340 000
C81L,1,8 584 690,35 970 000,16 940 000,17 107,8 567 583,19 012 893
C81M,1,8 301 150,38 820 000,12 370 000,43 131,8 258 019,26 406 869
C82A,1,4 547 470,21 750 000,10 000,10 455,4 537 015,21 729 545
C82B,1,3 040 200,16 880 000,40 000,8 030,3 032 170,16 831 970
C82C,1,1 915 530,12 390 000,5 280 000,0,1 915 530,7 110 000
C82D,1,2 829 060,19 500 000,5 370 000,186 870,2 642 190,13 943 130
C82E,1,3 276 690,20 730 000,5 360 000,0,3 276 690,15 370 000
C82F,1,2 141 140,14 020 000,2 680 000,8 176,2 132 964,11 331 824
C82G,1,2 393 970,18 140 000,5 170 000,10 950,2 383 020,12 959 050
C82H,1,2 795 060,20 700 000,3 300 000,59 962,2 735 098,17 340 038
C83A,1,4 864 460,31 270 000,12 090 000,108 318,4 756 142,19 071 682
C83B,1,1 652 800,9 950 000,2 930 000,1 825,1 650 975,7 018 175
C83C,1,3 718 690,30 600 000,10 270 000,172 470,3 546 220,20 157 530
C83D,1,2 073 160,17 050 000,4 560 000,17 900,2 055 260,12 472 100
C83E,1,1 739 750,15 460 000,4 740 000,1 825,1 737 925,10 718 175
C83F,1,4 722 130,32 850 000,10 950 000,34 100,4 688 030,21 865 900
C83G,1,3 405 620,24 230 000,7 390 000,27 023,3 378 597,16 812 977
C83H,1,2 116 290,16 230 000,3 450 000,134 235,1 982 055,12 645 765
C83J,1,840 806,6 680 000,1 690 000,200 500,640 306,4 789 500
C83K,1,2 726 920,16 630 000,3 560 000,0,2 726 920,13 070 000
C83L,1,4 320 340,23 210 000,3 990 000,20 237,4 300 103,19 199 763
C83M,1,5 593 640,31 720 000,7 000 000,40 364,5 553 277,24 679 637
C91A,1,8 237 420,15 410 000,4 430 000,8 051 165,186 255,2 928 835
C91B,1,13 171 400,57 520 000,4 430 000,21 212 935,-8 041 535,31 877 065
C91C,1,11 552 000,33 310 000,13 620 000,2 632 754,8 919 246,17 057 246
C91D,1,6 249 120,27 830 000,12 390 000,618 680,5 630 440,14 821 320
C91E,1,1 476 900,8 320 000,3 380 000,7 676 578,-6 199 678,-2 736 578
C92A,1,31 193 100,27 500 000,9 030 000,3 360 389,27 832 711,15 109 611
C92B,1,12 798 400,13 600 000,5 570 000,364 998,12 433 402,7 665 002
C92C,1,17 182 600,12 230 000,950 000,870 650,16 311 950,10 409 350
D41A,0,58 138 200,Unknown,Unknown,35 649 879,22 488 321,Unknown
D41B,1,51 175 900,29 580 000,2 590 000,13 275 199,37 900 701,13 714 801
D41C,1,6 020 550,28 380 000,230 000,2 992 331,3 028 219,25 157 669
D41D,1,12 465 000,34 390 000,700 000,14 674 249,-2 209 249,19 015 751
D41E,1,5 268 350,20 570 000,8 720 000,157 680,5 110 670,11 692 320
D41F,1,7 103 680,18 800 000,470 000,1 312 675,5 791 005,17 017 325
D41G,1,8 821 080,41 910 000,16 270 000,5 314 181,3 506 899,20 325 819
D41H,1,8 010 620,48 680 000,15 610 000,10 438 296,-2 427 676,22 631 704
D41J,1,7 081 230,20 620 000,12 660 000,22 587 880,-15 506 650,-14 627 880
D41K,1,6 679 590,18 130 000,5 780 000,6 764 965,-85 375,5 585 035
D41L,1,46 707 800,49 120 000,13 590 000,14 486 997,32 220 803,21 043 003
D41M,1,2 510 770,3 920 000,220 000,1 292 186,1 218 584,2 407 814
D42C,1,3 904 680,72 220 000,30 140 000,29 327,3 875 353,42 050 673
D73A,1,6 475 370,18 570 000,3 150 000,21 029 888,-14 554 518,-5 609 888
D73C,1,8 830 050,27 370 000,12 470 000,15 401,8 814 649,14 884 599
