"'DateTime","'High","'Moderately High","'Normal","'Moderately Low","'Low","'Very Low","'2018/2019","'2019/2020"
"'2017-12-27 00:00:00",,,,,,,49.285543463397055,60.98441021119615
"'2018-01-03 00:00:00",,,,,,,49.4121749837808,60.83192787747964
"'2018-01-10 00:00:00",,,,,,,51.34673995642828,60.51160258183438
"'2018-01-15 00:00:00",97.4,86.1,83.71,80.744,59.879999999999995,56.024
"'2018-01-17 00:00:00",,,,,,,53.32248514983169,60.20567006994082
"'2018-01-24 00:00:00",,,,,,,54.651647802025224,59.618157261612104
"'2018-01-31 00:00:00",,,,,,,55.46619818832006,59.638388332916016
"'2018-02-07 00:00:00",,,,,,,56.30510079007329,60.327493588810974
"'2018-02-14 00:00:00",,,,,,,58.68040964172896,61.261244947695815
"'2018-02-15 00:00:00",98.7,86.79,86.03,81.946,64.49,58.56999999999999
"'2018-02-21 00:00:00",,,,,,,62.52059791557525,62.98978393340731
"'2018-02-28 00:00:00",,,,,,,72.39382902371969,63.79259530301962
"'2018-03-07 00:00:00",,,,,,,74.49280267150048,64.2736452206904
"'2018-03-14 00:00:00",,,,,,,75.12368115581859,65.08807072382902
"'2018-03-15 00:00:00",94.56,90.04,86.456,82.58800000000001,74.41,64.31200000000001
"'2018-03-21 00:00:00",,,,,,,74.74288119178493,67.62847510797711
"'2018-03-28 00:00:00",,,,,,,74.57182248858413,72.63638333384327
"'2018-04-04 00:00:00",,,,,,,74.12283632126692,76.5266185325355
"'2018-04-11 00:00:00",,,,,,,73.61197055005411,79.10264583698877
"'2018-04-15 00:00:00",93.9,90.01,87.404,80.924,78.5925,68.267
"'2018-04-18 00:00:00",,,,,,,73.94821844811449,81.66743365738431
"'2018-04-25 00:00:00",,,,,,,73.35477368986642,82.39553367880178
"'2018-05-02 00:00:00",,,,,,,73.13504177653783,81.53983429254005
"'2018-05-09 00:00:00",,,,,,,72.95786379868336,80.9477320282211
"'2018-05-15 00:00:00",93.5,89.64,87.154,80.078,76.87,68.47
"'2018-05-16 00:00:00",,,,,,,73.50525789308378,80.84220576123464
"'2018-05-23 00:00:00",,,,,,,73.3681986291576,80.88223081279577
"'2018-05-30 00:00:00",,,,,,,73.13282510051535,80.54186177058091
"'2018-06-06 00:00:00",,,,,,,72.83338651274403,80.5046465900342
"'2018-06-13 00:00:00",,,,,,,72.58939604632417,80.47938897169337
"'2018-06-15 00:00:00",95.6,89.0675,86.786,79.7,75.47,67.63900000000001
"'2018-06-20 00:00:00",,,,,,,72.36257701388139,80.43830241330456
"'2018-06-27 00:00:00",,,,,,,72.11046914230873,80.30764341113347
"'2018-07-04 00:00:00",,,,,,,71.78992530114013,80.0319638438286
"'2018-07-11 00:00:00",,,,,,,71.40681499871683,79.89618463225345
"'2018-07-15 00:00:00",93.93,88.16,86.756,79.13799999999999,73.7,66.464
"'2018-07-18 00:00:00",,,,,,,71.09648035556732,79.60092963021474
"'2018-07-25 00:00:00",,,,,,,70.60028835520767,79.29218724730674
"'2018-08-01 00:00:00",,,,,,,70.14259158774571,78.90907694488344
"'2018-08-08 00:00:00",,,,,,,69.72317150765815,78.47773052337907
"'2018-08-15 00:00:00",93.6,86.69,85.54,77.592,72.1,65.19800000000001,69.25258055431888,78.23027454937474
"'2018-08-22 00:00:00",,,,,,,68.6735285798225,78.20579745076014
"'2018-08-29 00:00:00",,,,,,,68.23856054678842,77.91647439864077
"'2018-09-05 00:00:00",,,,,,,67.74683311926279,77.61834708400953
