model_name,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__n_estimators,param_model__learning_rate,param_model__l2_regularization,param_model__max_iter,param_model__max_leaf_nodes
Random Forest,0.5317033767700196,0.01509782228575152,0.06840882301330567,0.00047199397024048103,,"{'model__max_depth': 4, 'model__max_features': 0.7, 'model__min_samples_leaf': 4, 'model__n_estimators': 200}",-9.786726940737138,-12.272529347953787,-10.455164950321569,-20.387724218662044,-9.905797985875788,-12.561588688710064,4.013030166318866,1,4,0.7,4.0,200.0,,,,
Random Forest,1.0375263690948486,0.01322209155307329,0.11819539070129395,0.005965110314053674,,"{'model__max_depth': 4, 'model__max_features': 0.7, 'model__min_samples_leaf': 4, 'model__n_estimators': 400}",-9.865051736804304,-12.31183090352173,-10.301994285428643,-20.508880464324523,-10.032901156598237,-12.604131709335487,4.049299075405112,4,4,0.7,4.0,400.0,,,,
Random Forest,0.7328743457794189,0.18812794719285275,0.09744634628295898,0.02143832165481461,,"{'model__max_depth': 8, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",-11.544676125310351,-12.230362747950853,-9.59835011019438,-20.384606524714368,-10.582692316300765,-12.868137564894145,3.861874739200203,19,8,sqrt,1.0,200.0,,,,
Random Forest,1.3980768203735352,0.38227492600853036,0.14592256546020507,0.025988850712355425,,"{'model__max_depth': 8, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 400}",-12.072810734038537,-12.045100568658683,-9.536290880665621,-20.351650033795128,-10.677156914333926,-12.936601826298377,3.8259915133239213,21,8,sqrt,1.0,400.0,,,,
Random Forest,0.47675719261169436,0.013226625470495173,0.07201929092407226,0.007334595164322072,,"{'model__max_depth': 8, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 200}",-11.871679510987295,-13.766079238962334,-11.024356366083067,-20.536851367919244,-11.781605777545977,-13.796114452299582,3.4894920608061475,28,8,sqrt,2.0,200.0,,,,
Random Forest,0.9052587032318116,0.006473034260435418,0.13349676132202148,0.016460691974803723,,"{'model__max_depth': 8, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 400}",-11.835032456009879,-13.647459818699154,-10.816168923640147,-20.51881525268336,-11.967055263221477,-13.756906342850803,3.500871129860077,25,8,sqrt,2.0,400.0,,,,
Random Forest,0.46989736557006834,0.015301193325504052,0.07200531959533692,0.0050590255850006816,,"{'model__max_depth': 8, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__n_estimators': 200}",-11.739161402073362,-14.722277748005267,-11.81583114732721,-20.852796102529332,-12.85373849830776,-14.396760979648585,3.4026843334746424,34,8,sqrt,4.0,200.0,,,,
Random Forest,0.9397680759429932,0.006189152100312346,0.12281618118286133,0.018239567981331046,,"{'model__max_depth': 8, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__n_estimators': 400}",-11.837866442941493,-14.395142957271446,-11.467714182048715,-20.832890550356765,-12.636731176319081,-14.2340690617875,3.4501125914781863,32,8,sqrt,4.0,400.0,,,,
Random Forest,1.047246026992798,0.23533620397126975,0.11024322509765624,0.02245334963050587,,"{'model__max_depth': 8, 'model__max_features': 0.7, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",-11.22756821135276,-11.697712128203623,-10.057388210467256,-20.97329202598492,-10.25953104748655,-12.843098324699023,4.10991234512601,17,8,0.7,1.0,200.0,,,,
Random Forest,1.4990572929382324,0.2949235340113122,0.12107930183410645,0.00791120287264192,,"{'model__max_depth': 8, 'model__max_features': 0.7, 'model__min_samples_leaf': 1, 'model__n_estimators': 400}",-11.217879874653757,-11.53978978061065,-9.920287592436717,-21.02635112856021,-10.44600326360252,-12.830062327972772,4.137477788360223,16,8,0.7,1.0,400.0,,,,
