dataset,category,matched_count,matched_columns
Outputs/ModellingData/Households_Served_with_Water__2026_04_21_model_ready.csv,population_demand,16,"households_served_with_water_1994_to_april_2025, households_served_with_water_201415, households_served_with_water_201516, households_served_with_water_201617, households_served_with_water_201718, households_served_with_water_201819, households_served_with_water_201920, households_served_with_water_202021, households_served_with_water_202122, households_served_with_water_202223, households_served_with_water_202324, households_served_with_water_202425, households_served_with_water_202526, planned_households_to_be_served_202627, households_served_with_water_201415_change, households_served_with_water_201415_pct_change"
Outputs/ModellingData/Households_Served_with_Water__2026_04_21_model_ready.csv,temporal,1,time_frame
Outputs/ModellingData/Institutional_Compliance__2026_04_21_model_ready.csv,water_system,6,"potable_water_compliance_percentage, effluent_water_compliance_percentage, potable_water_compliance_percentage_change, potable_water_compliance_percentage_pct_change, effluent_water_compliance_percentage_change, effluent_water_compliance_percentage_pct_change"
Outputs/ModellingData/Institutional_Compliance__2026_04_21_model_ready.csv,geographic,1,region
Outputs/ModellingData/Institutional_Compliance__2026_04_21_model_ready.csv,temporal,1,time_frame
Outputs/ModellingData/Microbiological___Acute_Health__2026_04_21_model_ready.csv,geographic,1,region
Outputs/ModellingData/Microbiological___Acute_Health__2026_04_21_model_ready.csv,temporal,1,time_frame
Outputs/ModellingData/NIWIS_RWT_16-Jul-2026__model_ready.csv,temporal,1,date
Outputs/ModellingData/Operational__2026_04_21_model_ready.csv,geographic,1,region
Outputs/ModellingData/Operational__2026_04_21_model_ready.csv,temporal,1,time_frame
Outputs/ModellingData/People_Served_with_Water__2026_04_21_model_ready.csv,water_system,16,"population_served_with_water_1994_to_april_2025, population_served_with_water_201415, population_served_with_water_201516, population_served_with_water_201617, population_served_with_water_201718, population_served_with_water_201819, population_served_with_water_201920, population_served_with_water_202021, population_served_with_water_202122, population_served_with_water_202223, population_served_with_water_202324, population_served_with_water_202425, population_served_with_water_202526, planned_population_to_be_served_202627, population_served_with_water_201415_change, population_served_with_water_201415_pct_change"
Outputs/ModellingData/People_Served_with_Water__2026_04_21_model_ready.csv,geographic,1,region
Outputs/ModellingData/People_Served_with_Water__2026_04_21_model_ready.csv,population_demand,16,"population_served_with_water_1994_to_april_2025, population_served_with_water_201415, population_served_with_water_201516, population_served_with_water_201617, population_served_with_water_201718, population_served_with_water_201819, population_served_with_water_201920, population_served_with_water_202021, population_served_with_water_202122, population_served_with_water_202223, population_served_with_water_202324, population_served_with_water_202425, population_served_with_water_202526, planned_population_to_be_served_202627, population_served_with_water_201415_change, population_served_with_water_201415_pct_change"
Outputs/ModellingData/People_Served_with_Water__2026_04_21_model_ready.csv,temporal,1,time_frame
Outputs/ModellingData/Piped_Water_Households___2026_04_21_model_ready.csv,water_system,7,"piped__tap__water_inside_dwelling_institution, piped__tap__water_inside_yard, piped__tap__water_on_community_stand__distance_less_than_200m_fr, piped__tap__water_on_community_stand__distance_between_200m_and, piped__tap__water_on_community_stand__distance_between_500m_and, piped__tap__water_on_community_stand__distance_greater_than_1000, no_access_to_piped__tap__water"
Outputs/ModellingData/Piped_Water_Households___2026_04_21_model_ready.csv,geographic,1,region
Outputs/ModellingData/Piped_Water_Households___2026_04_21_model_ready.csv,infrastructure,7,"piped__tap__water_inside_dwelling_institution, piped__tap__water_inside_yard, piped__tap__water_on_community_stand__distance_less_than_200m_fr, piped__tap__water_on_community_stand__distance_between_200m_and, piped__tap__water_on_community_stand__distance_between_500m_and, piped__tap__water_on_community_stand__distance_greater_than_1000, no_access_to_piped__tap__water"
Outputs/ModellingData/Piped_Water_Households___2026_04_21_model_ready.csv,temporal,1,time_frame
Outputs/ModellingData/Potable_Systems__2026_04_21_model_ready.csv,water_system,5,"households_with_access_to_rdp_water, households_with_access_to_reliable_water, drinking_water_quality_percentage, drinking_water_quality_percentage_change, drinking_water_quality_percentage_pct_change"
Outputs/ModellingData/Potable_Systems__2026_04_21_model_ready.csv,geographic,1,region
Outputs/ModellingData/Potable_Systems__2026_04_21_model_ready.csv,population_demand,4,"population_in_system, households_in_system, households_with_access_to_rdp_water, households_with_access_to_reliable_water"
Outputs/ModellingData/Potable_Systems__2026_04_21_model_ready.csv,temporal,1,time_frame
Outputs/ModellingData/Protests_Identified_by_Municipal_IQ__2026_04_21_model_ready.csv,water_system,3,"water, water_change, water_pct_change"
Outputs/ModellingData/Protests_Identified_by_Municipal_IQ__2026_04_21_model_ready.csv,geographic,1,region
Outputs/ModellingData/Protests_Identified_by_Municipal_IQ__2026_04_21_model_ready.csv,temporal,1,time_frame
Outputs/ModellingData/Surface_Water_Storage__2014-2020__model_ready.csv,temporal,1,datetime
Outputs/ModellingData/Surface_Water_Storage___2020_-2026__model_ready.csv,temporal,1,datetime
Outputs/ModellingData/Total_Households__2026_04_21_model_ready.csv,geographic,1,region
Outputs/ModellingData/Total_Households__2026_04_21_model_ready.csv,population_demand,7,"total_households, total_population, hh_density, urban_households, rural_households, hh_density_change, hh_density_pct_change"
Outputs/ModellingData/Total_Households__2026_04_21_model_ready.csv,temporal,1,time_frame
Outputs/ModellingData/Total_Population__2026_04_21_model_ready.csv,geographic,1,region
Outputs/ModellingData/Total_Population__2026_04_21_model_ready.csv,population_demand,7,"total_population, total_households, hh_density, urban_population, rural_population, hh_density_change, hh_density_pct_change"
Outputs/ModellingData/Total_Population__2026_04_21_model_ready.csv,temporal,1,time_frame
Outputs/ModellingData/Vulnerability_Score_Per_leg__2026_04_21_model_ready.csv,water_system,9,"1__water_services_planning, 6__water_conservation___water_demand_management__wc_wdm, 7__drinking_water_safety___regulatory_compliance, 1__water_services_planning_change, 1__water_services_planning_pct_change, 6__water_conservation___water_demand_management__wc_wdm_change, 6__water_conservation___water_demand_management__wc_wdm_pct_change, 7__drinking_water_safety___regulatory_compliance_change, 7__drinking_water_safety___regulatory_compliance_pct_change"
Outputs/ModellingData/Vulnerability_Score_Per_leg__2026_04_21_model_ready.csv,geographic,1,region
Outputs/ModellingData/Vulnerability_Score_Per_leg__2026_04_21_model_ready.csv,population_demand,3,"6__water_conservation___water_demand_management__wc_wdm, 6__water_conservation___water_demand_management__wc_wdm_change, 6__water_conservation___water_demand_management__wc_wdm_pct_change"
Outputs/ModellingData/Vulnerability_Score_Per_leg__2026_04_21_model_ready.csv,infrastructure,6,"10__infrastructure_asset_management__iam, 11__operation___maintenance__o_m__of_assets, 10__infrastructure_asset_management__iam_change, 10__infrastructure_asset_management__iam_pct_change, 11__operation___maintenance__o_m__of_assets_change, 11__operation___maintenance__o_m__of_assets_pct_change"
Outputs/ModellingData/Vulnerability_Score_Per_leg__2026_04_21_model_ready.csv,temporal,1,time_frame
Outputs/ModellingData/Water_demand_growth__2026_04_21_model_ready.csv,water_system,12,"water_demand_growth, non_revenue_water, water_losses, revenue_water__litres, non_revenue_water__litres, water_losses__litres, water_demand_growth_change, water_demand_growth_pct_change, non_revenue_water_change, non_revenue_water_pct_change, water_losses_change, water_losses_pct_change"
Outputs/ModellingData/Water_demand_growth__2026_04_21_model_ready.csv,geographic,1,region
Outputs/ModellingData/Water_demand_growth__2026_04_21_model_ready.csv,population_demand,3,"water_demand_growth, water_demand_growth_change, water_demand_growth_pct_change"
Outputs/ModellingData/Water_demand_growth__2026_04_21_model_ready.csv,temporal,1,time_frame
Outputs/ModellingData/Weather_model_ready.csv,weather,20,"prcp, prcp_attributes, rainfall_present, rainfall_7day, rainfall_30day, rainfall_90day, rainfall_7day_mean, temperature_range, prcp_change, prcp_pct_change, rainfall_7day_change, rainfall_7day_pct_change, rainfall_30day_change, rainfall_30day_pct_change, rainfall_90day_change, rainfall_90day_pct_change, rainfall_7day_mean_change, rainfall_7day_mean_pct_change, temperature_range_change, temperature_range_pct_change"
Outputs/ModellingData/Weather_model_ready.csv,geographic,9,"latitude, longitude, elevation, latitude_change, latitude_pct_change, longitude_change, longitude_pct_change, elevation_change, elevation_pct_change"
Outputs/ModellingData/Weather_model_ready.csv,temporal,40,"date, year, month, day, day_of_year, quarter, month_sin, month_cos, rainfall_7day, rainfall_30day, rainfall_90day, rainfall_7day_mean, tmax_7day_mean, tmin_7day_mean, year_change, year_pct_change, month_change, month_pct_change, day_change, day_pct_change, day_of_year_change, day_of_year_pct_change, quarter_change, quarter_pct_change, month_sin_change, month_sin_pct_change, month_cos_change, month_cos_pct_change, rainfall_7day_change, rainfall_7day_pct_change, rainfall_30day_change, rainfall_30day_pct_change, rainfall_90day_change, rainfall_90day_pct_change, rainfall_7day_mean_change, rainfall_7day_mean_pct_change, tmax_7day_mean_change, tmax_7day_mean_pct_change, tmin_7day_mean_change, tmin_7day_mean_pct_change"
Outputs/ModellingData/notebook4_reliability_modelling_table.csv,water_system,6,"population_with_access_to_water, urban_population_with_access_to_water, rural_population_with_access_to_water, water_access_rate_pct, water_access_gap_pct, target_reliable_supply_pct"
Outputs/ModellingData/notebook4_reliability_modelling_table.csv,geographic,1,wsa_name
Outputs/ModellingData/notebook4_reliability_modelling_table.csv,population_demand,9,"population, population_with_access_to_water, urban_population, urban_population_with_access_to_water, rural_population, rural_population_with_access_to_water, log_population, urban_population_share_pct, rural_population_share_pct"
