stage,file,rows,columns,column_names
Notebook 3 / FeatureEngineering,Outputs/FeatureEngineering/Microbiological___Acute_Health__2026_04_21_engineered.csv,11.0,12.0,"region, time_frame, unnamed__2, risk_type, analysis_done, analysis_failed, compliance_percentage, compliance_result, analysis_failed_change, analysis_failed_pct_change, compliance_percentage_change, compliance_percentage_pct_change"
Notebook 3 / FeatureEngineering,Outputs/FeatureEngineering/NIWIS_GroundwaterStatus_16-Jul-2026__engineered.csv,1946.0,8.0,"quaternary, reserve_study, available__gra2_m3_a, recharge__gwr_m3_a, reserve__gwr_m3_a, abstracted__warms_m3_a, surplus__gra2_m3_a, surplus__gwr_m3_a"
Notebook 3 / FeatureEngineering,Outputs/FeatureEngineering/NIWIS_RWT_16-Jul-2026__engineered.csv,9.0,11.0,"wma, date, domestic_and_industry_c_m3, irrigation_c_m3, forestry_c_m3, domestic_and_industry_c_m3_change, domestic_and_industry_c_m3_pct_change, irrigation_c_m3_change, irrigation_c_m3_pct_change, forestry_c_m3_change, forestry_c_m3_pct_change"
Notebook 3 / FeatureEngineering,Outputs/FeatureEngineering/NIWIS_WasteWaterQuality_16-Jul-2026__engineered.csv,143.0,5.0,"wsa, chemical, microbiological, physical, monitoring"
Notebook 3 / FeatureEngineering,Outputs/FeatureEngineering/NIWIS_Water_Supply_Reliability_-_population_16-Jul-2026__engineered.csv,144.0,13.0,"wsa_name, population, population_with_access_to_water, population_reliable_supply, population_reliable_supply_1, urban_population, urban_population_with_access_to_water, urban_population_reliable_supply, urban_population_reliable_supply_1, rural_population, rural_population_with_access_to_water, rural_population_reliable_supply, rural_population_reliable_supply_1"
Notebook 3 / FeatureEngineering,Outputs/FeatureEngineering/Operational__2026_04_21_engineered.csv,11.0,12.0,"region, time_frame, unnamed__2, risk_type, analysis_done, analysis_failed, compliance_percentage, compliance_result, analysis_failed_change, analysis_failed_pct_change, compliance_percentage_change, compliance_percentage_pct_change"
Notebook 3 / FeatureEngineering,Outputs/FeatureEngineering/People_Served_with_Water__2026_04_21_engineered.csv,11.0,19.0,"region, time_frame, unnamed__2, population_served_with_water_1994_to_april_2025, population_served_with_water_201415, population_served_with_water_201516, population_served_with_water_201617, population_served_with_water_201718, population_served_with_water_201819, population_served_with_water_201920, population_served_with_water_202021, population_served_with_water_202122, population_served_with_water_202223, population_served_with_water_202324, population_served_with_water_202425, population_served_with_water_202526, planned_population_to_be_served_202627, population_served_with_water_201415_change, population_served_with_water_201415_pct_change"
Notebook 3 / FeatureEngineering,Outputs/FeatureEngineering/Piped_Water_Households___2026_04_21_engineered.csv,10.0,12.0,"region, time_frame, unnamed__2, piped__tap__water_inside_dwelling_institution, piped__tap__water_inside_yard, piped__tap__water_on_community_stand__distance_less_than_200m_fr, piped__tap__water_on_community_stand__distance_between_200m_and, piped__tap__water_on_community_stand__distance_between_500m_and, piped__tap__water_on_community_stand__distance_greater_than_1000, no_access_to_piped__tap__water, unspecified, not_applicable"
Notebook 3 / FeatureEngineering,Outputs/FeatureEngineering/Potable_Systems__2026_04_21_engineered.csv,61.0,15.0,"region, time_frame, unnamed__2, system_name, system_area, population_in_system, households_in_system, households_with_access_to_rdp_water, households_with_access_to_reliable_water, drinking_water_quality_percentage, latest_blue_drop_score, drinking_water_quality_percentage_change, drinking_water_quality_percentage_pct_change, latest_blue_drop_score_change, latest_blue_drop_score_pct_change"
Notebook 3 / FeatureEngineering,Outputs/FeatureEngineering/Protests_Identified_by_Municipal_IQ__2026_04_21_engineered.csv,11.0,42.0,"region, time_frame, unnamed__2, total_protests, informal, violent, xenophobia, criminality, corruption, councillor, water, sanitation, electricity, refuse_removal, roads, housing, total_protests_change, total_protests_pct_change, informal_change, informal_pct_change, violent_change, violent_pct_change, xenophobia_change, xenophobia_pct_change, criminality_change, criminality_pct_change, corruption_change, corruption_pct_change, councillor_change, councillor_pct_change, water_change, water_pct_change, sanitation_change, sanitation_pct_change, electricity_change, electricity_pct_change, refuse_removal_change, refuse_removal_pct_change, roads_change, roads_pct_change, housing_change, housing_pct_change"
